product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
12491130,"[블랙모어스][NEW] 블랙모어스 멀티액션 큐텐 9+3병, 12개월(800mg*60캡슐*12병)+블랙모어스 칼슘 마그네슘 플러스 비타민D 2병, 2개월(1,600mg*60캡슐*2병)",홈,TV쇼핑,식품/건강식품,,,,,,,,블랙모어스,(주)노바렉스,한국,"198,000","187,000","177,650",99,1642
12503887,[수려한][수려한] 수려한 진생녹용 콜라겐 특별 패키지!,홈,TV쇼핑,화장품/이미용,,,,,,,,수려한,엘지생활건강,한국,"158,000","157,000","149,150",,338
1129706393,[진도끌레베]진도 Klever 균일 최저가 기획 스크랩 밍크 하프코트,홈,여성의류,아우터/베스트/가죽/모피,가죽/모피,기타 모피,,,,,,진도끌레베,진도,한국,"690,000","629,090","597,640",,10
12502278,[리큅]리큅 식품 건조기  [LD-918B] + 레시피북,홈,TV쇼핑,가전,,,,,,,,리큅,리큅,한국,"109,000","91,650","87,070",,2644
12498204,[한율][한율] 서담 탄력 4종 완벽더블 + 프리미엄 고결라인 3종 완벽더블 특별패키지!,홈,TV쇼핑,화장품/이미용,,,,,,,,한율,(주)아모레퍼시픽,한국,"130,000","129,000","122,550",,663
12504333,[자이글]에코그릴 자이글 적외선 조리기(핸썸그릴),홈,TV쇼핑,가전,,,,,,,,자이글,"Zhejiang Suncon Electric Appliance Co.,Ltd","Zhejiang Haowan Household Articles Co.,Ltd","189,000","170,550","162,020",,195
1124672095,[데상트][데상트] 남녀공용 BEETLE 2.0 (비틀) 백팩 (S6126TBP04),홈,스포츠패션/슈즈,스포츠가방/악세사리,가방,백팩,,,,,,데상트,(주)데상트코리아,중국,"139,000","125,100","118,840",,62
12504010,[SK텔레콤][SKT] 갤럭시그랜드 맥스,홈,,,,,,,,,,SK텔레콤,삼성전자,한국,"89,000",,,,11
12499350,[웜앤나우]웜앤나우 윈터 텍스쳐 기모 와이드팬츠 3종,홈,TV쇼핑,여성의류,,,,,,,,웜앤나우,(주)한스갤러리,한국,"59,000","58,000","55,100",,1834
12479756,[동부화재]동부화재 더커진 통합플랜 의료실비보험 (일반),홈,보험/금융,의료실비보험,,,,,,,,동부화재,동부화재,한국,,,,,516
1122369174,[빈폴 아웃도어]김수현다운 신상 도브다운 6종 택1 BO5838018,홈,롯데백화점,아웃도어/골프/레저,남성등산복,다운/패딩재킷/점퍼,덕다운/패딩,,,,,빈폴 아웃도어,제일모직㈜,베트남,"208,600","197,180","187,320",,95
1133445372,[MLB키즈]야구점퍼/맨투맨/팬츠 外 20종 택 1,홈,U아동관,롯데백화점 아동의류/잡화,아동의류/남아/3~9세,바지,트레이닝,긴바지,,,,,,,"38,000","32,300",,,104
12496081,[조르쥬 레쉬][GEORGES RECH] 조르쥬 레쉬 실버폭스 워머,홈,TV쇼핑,여성의류,,,,,,,,조르쥬 레쉬,노스퍼,중국,"79,000","78,000","74,100",,1931
12488538,[룰루 까스따네뜨]★룰루까스따네뜨 다즐링 백팩 3종(블랙),홈,TV쇼핑,패션잡화,,,,,,,,룰루 까스따네뜨,금대피혁,중국,"69,900",,"66,400",,257
1091051884,[코치(COACH)]코치[Coach] 34604/34615 루비 크로스바디백 국민에 사랑 받는 핸드백,홈,패션잡화,핸드백/가방,크로스백,크로스백,,,,,,코치(COACH),코치(COACH),(상세페이지참조),"182,000","179,000","170,050",,28
1132495760,[키엘][예약2/22]수분크림 점보 세트(+온더바디 바디워시+5종 증정),홈,롯데백화점,명품화장품,세트,스킨케어세트,크림세트,,,,,키엘,미국 로레알사,미국,"75,000",,"71,250",,68
1131239205,[빈폴 아웃도어]신상 키즈가방 /키즈백팩/신학기가방 택1,홈,등산/캠핑/자동차,등산복/등산화/배낭,등산배낭,소형 (32L 이하),,,,,,,,,,"88,000",,,31
12492162,[프리마클라쎄(PRIMA CLASSE)]PRIMA CLASSE 소프트 백팩 (P150AB007),홈,TV쇼핑,명품/쥬얼리,,,,,,,,프리마클라쎄(PRIMA CLASSE),알비에로 마르티니,이탈리아,"498,000","494,020","469,320",,19
1132951308,[론즈데일/만다리나덕/오야니] 신학기/새해여행 최지우/소지섭 인기 백팩 모음,홈,패션잡화,서류/캐쥬얼가방,캐쥬얼가방,캐주얼 백팩/배낭,,,,,,,,,"52,000","49,400",,,918
